Pclass	Sex	Age	Embarked
3	male	29.0	S
1	female	27.0	C
3	female	27.0	S
1	female	27.0	S
3	male	29.0	S
3	male	29.0	Q
1	male	29.0	S
3	male	29.0	S
3	female	27.0	S
2	female	27.0	C
3	female	27.0	S
1	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	female	27.0	S
2	female	27.0	S
3	male	29.0	Q
2	male	29.0	S
3	female	27.0	S
3	female	27.0	C
2	male	29.0	S
2	male	29.0	S
3	female	27.0	Q
1	male	29.0	S
3	female	27.0	S
3	female	27.0	S
3	male	29.0	C
1	male	29.0	S
3	female	27.0	Q
3	male	29.0	S
1	male	29.0	C
1	female	27.0	C
3	female	27.0	Q
2	male	29.0	S
1	male	29.0	C
1	male	29.0	S
3	male	29.0	C
3	male	29.0	S
3	female	27.0	S
3	female	27.0	C
3	female	27.0	S
2	female	27.0	S
3	male	29.0	C
2	female	27.0	C
3	female	27.0	Q
3	male	29.0	S
3	male	29.0	Q
3	female	27.0	Q
3	male	29.0	C
3	female	27.0	S
3	male	29.0	S
3	male	29.0	S
1	female	27.0	C
2	female	27.0	S
1	male	29.0	C
1	male	29.0	S
2	female	27.0	S
3	male	29.0	C
2	female	27.0	S
3	male	29.0	S
3	male	29.0	C
1	male	29.0	S
3	male	29.0	S
1	male	29.0	C
3	male	29.0	C
2	female	27.0	S
3	male	29.0	S
3	female	27.0	S
3	male	29.0	S
2	male	29.0	S
3	female	27.0	S
2	male	29.0	S
3	male	29.0	C
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
2	male	29.0	S
3	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	female	27.0	Q
1	male	29.0	S
2	female	27.0	S
3	female	27.0	S
3	male	29.0	S
3	male	29.0	S
1	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
1	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
1	male	29.0	C
1	male	29.0	C
2	female	27.0	S
2	male	29.0	S
3	female	27.0	S
3	male	29.0	S
1	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	female	27.0	Q
1	male	29.0	S
3	female	27.0	C
3	male	29.0	S
3	female	27.0	S
3	female	27.0	C
3	male	29.0	S
3	male	29.0	Q
2	male	29.0	S
1	male	29.0	C
3	female	27.0	S
2	male	29.0	S
3	male	29.0	S
2	male	29.0	C
2	female	27.0	S
1	male	29.0	S
3	male	29.0	C
3	male	29.0	Q
3	male	29.0	S
3	female	27.0	C
3	male	29.0	S
3	male	29.0	C
3	male	29.0	S
3	female	27.0	S
2	female	27.0	S
2	male	29.0	S
2	male	29.0	C
1	female	27.0	S
1	male	29.0	S
3	male	29.0	S
1	male	29.0	C
3	female	27.0	C
3	female	27.0	S
3	female	27.0	S
3	male	29.0	Q
2	male	29.0	S
2	male	29.0	S
3	male	29.0	S
3	female	27.0	S
2	male	29.0	S
2	male	29.0	S
2	male	29.0	S
1	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
1	male	29.0	C
3	female	27.0	Q
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
2	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
1	female	27.0	S
3	female	27.0	S
1	male	29.0	S
3	male	29.0	S
1	male	29.0	S
3	male	29.0	Q
3	female	27.0	S
3	male	29.0	S
1	male	29.0	C
3	male	29.0	S
3	male	29.0	S
1	female	27.0	C
2	male	29.0	S
3	male	29.0	S
3	female	27.0	S
2	male	29.0	C
3	male	29.0	S
2	male	29.0	S
3	female	27.0	S
1	male	29.0	S
3	female	27.0	Q
1	male	29.0	S
3	male	29.0	Q
3	male	29.0	S
2	female	27.0	S
2	male	29.0	S
3	female	27.0	S
2	male	29.0	S
1	female	27.0	C
1	female	27.0	C
3	male	29.0	Q
3	male	29.0	S
3	female	27.0	Q
2	female	27.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	S
3	male	29.0	C
3	male	29.0	S
3	female	27.0	S
3	male	29.0	S
3	male	29.0	C
3	female	27.0	Q
1	male	29.0	C
3	male	29.0	S
2	female	27.0	S
3	male	29.0	S
2	male	29.0	S
3	male	29.0	Q
